net,length_um
data_array.data1\[8\]\[56\],19.98µm
_03919_,19.96µm
data_array.data0\[12\]\[27\],19.96µm
data_array.data0\[6\]\[58\],19.96µm
tag_array.tag1\[2\]\[24\],19.96µm
tag_array.tag1\[5\]\[14\],19.96µm
_03933_,19.94µm
data_array.data0\[6\]\[31\],19.94µm
data_array.data0\[8\]\[26\],19.92µm
tag_array.tag0\[6\]\[1\],19.92µm
_04634_,19.9µm
data_array.data1\[5\]\[38\],19.9µm
_03642_,19.88µm
_03576_,19.86µm
_04104_,19.86µm
_05284_,19.86µm
_05338_,19.86µm
data_array.data0\[13\]\[29\],19.82µm
_04525_,19.8µm
_04746_,19.78µm
_03309_,19.76µm
_03627_,19.76µm
_04626_,19.76µm
_04815_,19.76µm
data_array.data1\[15\]\[22\],19.76µm
tag_array.tag0\[3\]\[5\],19.745µm
_03163_,19.74µm
_04903_,19.74µm
data_array.data1\[7\]\[10\],19.7µm
tag_array.tag1\[10\]\[12\],19.66µm
_00125_,19.625µm
data_array.data1\[3\]\[53\],19.625µm
data_array.data0\[12\]\[21\],19.62µm
tag_array.tag1\[5\]\[1\],19.62µm
_04032_,19.58µm
tag_array.tag0\[5\]\[7\],19.56µm
_03143_,19.54µm
data_array.data0\[9\]\[1\],19.54µm
tag_array.tag1\[10\]\[1\],19.54µm
tag_array.tag0\[1\]\[1\],19.52µm
tag_array.tag1\[5\]\[13\],19.52µm
data_array.data0\[11\]\[54\],19.505µm
data_array.data0\[12\]\[11\],19.5µm
data_array.data1\[13\]\[23\],19.5µm
data_array.data1\[4\]\[30\],19.5µm
data_array.data1\[5\]\[6\],19.5µm
net112,19.48µm
_03607_,19.44µm
_04492_,19.44µm
data_array.rdata0\[3\],19.44µm
data_array.data1\[11\]\[20\],19.42µm
data_array.data1\[14\]\[32\],19.42µm
data_array.rdata1\[34\],19.42µm
_03728_,19.4µm
data_array.data0\[2\]\[31\],19.4µm
_04159_,19.38µm
_05014_,19.38µm
tag_array.tag0\[1\]\[0\],19.38µm
tag_array.tag1\[10\]\[3\],19.38µm
data_array.data1\[0\]\[54\],19.36µm
_05165_,19.32µm
data_array.data0\[10\]\[16\],19.32µm
data_array.data0\[13\]\[23\],19.32µm
data_array.data0\[2\]\[7\],19.32µm
net302,19.32µm
_04764_,19.3µm
data_array.data0\[2\]\[0\],19.28µm
data_array.data1\[0\]\[53\],19.28µm
data_array.data1\[8\]\[51\],19.24µm
tag_array.tag1\[6\]\[12\],19.24µm
_03649_,19.22µm
data_array.data0\[14\]\[21\],19.22µm
data_array.data1\[11\]\[6\],19.22µm
tag_array.tag1\[0\]\[10\],19.2µm
_03254_,19.18µm
data_array.data0\[8\]\[53\],19.18µm
_04332_,19.16µm
data_array.data0\[1\]\[35\],19.16µm
data_array.data0\[5\]\[16\],19.16µm
data_array.rdata0\[10\],19.16µm
data_array.data0\[10\]\[56\],19.12µm
data_array.data1\[4\]\[14\],19.12µm
data_array.data1\[9\]\[24\],19.12µm
_00154_,19.1µm
_04914_,19.1µm
data_array.data1\[6\]\[50\],19.1µm
_04257_,19.08µm
_04868_,19.08µm
data_array.data1\[14\]\[59\],19.08µm
data_array.data1\[8\]\[7\],19.08µm
tag_array.tag1\[13\]\[16\],19.08µm
tag_array.tag1\[13\]\[18\],19.08µm
_04150_,19.06µm
_04908_,19.06µm
mem_wdata[23],19.06µm
net134,19.06µm
data_array.data1\[10\]\[2\],19.04µm
tag_array.dirty0\[1\],19.04µm
_03705_,19.02µm
_03875_,19.02µm
tag_array.tag0\[10\]\[15\],19.01µm
_03810_,19µm
_05329_,19µm
data_array.data0\[13\]\[43\],19µm
data_array.data1\[12\]\[6\],19µm
_04142_,18.98µm
_04326_,18.98µm
_05055_,18.98µm
data_array.data0\[1\]\[28\],18.98µm
_03317_,18.94µm
data_array.data1\[6\]\[1\],18.94µm
mem_wdata[20],18.94µm
_04008_,18.92µm
data_array.data0\[9\]\[15\],18.92µm
tag_array.tag0\[11\]\[7\],18.92µm
_00071_,18.905µm
_04587_,18.9µm
_05038_,18.9µm
tag_array.tag1\[5\]\[21\],18.9µm
tag_array.tag1\[4\]\[24\],18.88µm
data_array.data1\[7\]\[1\],18.865µm
tag_array.tag0\[5\]\[12\],18.86µm
_03303_,18.84µm
tag_array.tag0\[11\]\[15\],18.825µm
_05227_,18.82µm
data_array.data1\[10\]\[18\],18.82µm
tag_array.tag1\[11\]\[3\],18.8µm
data_array.data0\[11\]\[9\],18.785µm
_03622_,18.78µm
data_array.data1\[10\]\[31\],18.78µm
data_array.data1\[14\]\[45\],18.78µm
tag_array.tag0\[1\]\[7\],18.78µm
_02932_,18.765µm
data_array.data1\[6\]\[31\],18.76µm
data_array.data0\[7\]\[58\],18.745µm
data_array.data0\[0\]\[25\],18.74µm
data_array.data0\[5\]\[38\],18.74µm
data_array.data1\[4\]\[35\],18.74µm
_03529_,18.7µm
data_array.data0\[9\]\[27\],18.7µm
_05577_,18.68µm
tag_array.tag0\[11\]\[24\],18.665µm
data_array.data1\[4\]\[36\],18.66µm
data_array.data1\[0\]\[60\],18.64µm
data_array.data1\[2\]\[25\],18.64µm
tag_array.tag1\[9\]\[1\],18.64µm
_03881_,18.62µm
_04001_,18.62µm
_04498_,18.62µm
tag_array.tag0\[12\]\[15\],18.62µm
_04616_,18.6µm
data_array.data0\[10\]\[22\],18.58µm
tag_array.valid0\[10\],18.58µm
_04510_,18.56µm
_05343_,18.56µm
net155,18.54µm
data_array.data1\[10\]\[34\],18.52µm
tag_array.tag0\[4\]\[8\],18.52µm
tag_array.tag1\[8\]\[12\],18.52µm
_03937_,18.5µm
_03951_,18.48µm
_04140_,18.48µm
data_array.data0\[6\]\[46\],18.48µm
data_array.data1\[12\]\[29\],18.48µm
tag_array.dirty0\[5\],18.48µm
_04316_,18.46µm
data_array.data1\[14\]\[38\],18.46µm
data_array.data1\[3\]\[25\],18.46µm
data_array.data1\[4\]\[21\],18.46µm
_03267_,18.44µm
_04584_,18.44µm
_03725_,18.4µm
_04445_,18.4µm
_04527_,18.4µm
data_array.data1\[14\]\[53\],18.4µm
tag_array.tag0\[0\]\[7\],18.38µm
tag_array.tag0\[7\]\[21\],18.38µm
data_array.data1\[7\]\[31\],18.365µm
data_array.data1\[7\]\[52\],18.365µm
data_array.data0\[6\]\[41\],18.36µm
data_array.data1\[6\]\[13\],18.34µm
_04985_,18.32µm
data_array.data1\[2\]\[32\],18.32µm
data_array.rdata1\[11\],18.32µm
data_array.rdata1\[49\],18.3µm
tag_array.tag0\[12\]\[14\],18.3µm
data_array.data1\[3\]\[5\],18.285µm
_05220_,18.28µm
data_array.data0\[2\]\[1\],18.28µm
_05117_,18.24µm
data_array.data1\[12\]\[51\],18.24µm
data_array.rdata0\[22\],18.24µm
tag_array.tag0\[1\]\[10\],18.24µm
tag_array.tag0\[2\]\[2\],18.24µm
_04478_,18.22µm
_03320_,18.2µm
_04409_,18.2µm
data_array.data1\[9\]\[58\],18.2µm
tag_array.tag0\[0\]\[16\],18.2µm
_00074_,18.185µm
_03599_,18.18µm
tag_array.tag0\[15\]\[13\],18.18µm
_04500_,18.16µm
data_array.data0\[14\]\[0\],18.16µm
data_array.data0\[8\]\[2\],18.16µm
tag_array.tag1\[9\]\[15\],18.16µm
_03542_,18.14µm
data_array.data1\[4\]\[61\],18.14µm
net232,18.14µm
data_array.data0\[2\]\[34\],18.12µm
data_array.data1\[13\]\[0\],18.12µm
data_array.data1\[13\]\[37\],18.12µm
data_array.data1\[1\]\[3\],18.12µm
data_array.data1\[5\]\[9\],18.12µm
data_array.rdata0\[56\],18.12µm
tag_array.tag0\[10\]\[6\],18.12µm
tag_array.tag0\[5\]\[5\],18.12µm
_04827_,18.1µm
_05296_,18.1µm
_03662_,18.08µm
tag_array.tag1\[13\]\[14\],18.08µm
net1708,18.06µm
data_array.data0\[6\]\[29\],18.04µm
_00072_,18.025µm
_04274_,18.02µm
_04580_,18.02µm
data_array.data0\[5\]\[32\],18.02µm
data_array.data0\[3\]\[51\],18µm
data_array.data1\[2\]\[12\],18µm
tag_array.tag0\[1\]\[18\],18µm
tag_array.tag0\[6\]\[8\],18µm
tag_array.tag0\[9\]\[19\],18µm
_05084_,17.98µm
_05199_,17.98µm
data_array.data0\[2\]\[38\],17.96µm
data_array.data0\[3\]\[53\],17.96µm
data_array.data0\[7\]\[62\],17.96µm
data_array.data1\[15\]\[16\],17.96µm
data_array.data1\[4\]\[48\],17.96µm
tag_array.dirty0\[7\],17.96µm
data_array.data1\[0\]\[40\],17.94µm
tag_array.tag0\[15\]\[21\],17.94µm
net836,17.94µm
_03917_,17.92µm
data_array.data0\[8\]\[58\],17.92µm
_04564_,17.9µm
tag_array.tag0\[1\]\[11\],17.9µm
tag_array.tag1\[1\]\[4\],17.9µm
lru_array.lru_mem\[11\],17.895µm
tag_array.tag1\[3\]\[4\],17.885µm
data_array.data0\[12\]\[22\],17.86µm
data_array.data0\[13\]\[53\],17.86µm
data_array.data0\[13\]\[54\],17.86µm
_03592_,17.84µm
data_array.data0\[11\]\[60\],17.825µm
_03580_,17.82µm
data_array.data0\[7\]\[19\],17.82µm
tag_array.tag1\[14\]\[11\],17.82µm
_04431_,17.8µm
data_array.data1\[15\]\[12\],17.785µm
data_array.data0\[14\]\[12\],17.78µm
tag_array.tag0\[1\]\[24\],17.78µm
_04425_,17.76µm
tag_array.valid0\[0\],17.76µm
_03188_,17.75µm
data_array.data0\[1\]\[60\],17.74µm
data_array.data0\[4\]\[10\],17.74µm
data_array.data1\[9\]\[15\],17.74µm
data_array.data1\[9\]\[51\],17.74µm
tag_array.tag1\[12\]\[24\],17.74µm
data_array.data1\[8\]\[8\],17.72µm
_03568_,17.7µm
_04184_,17.7µm
_05280_,17.7µm
data_array.data0\[7\]\[34\],17.7µm
data_array.data1\[3\]\[54\],17.7µm
tag_array.tag0\[8\]\[19\],17.7µm
tag_array.tag1\[11\]\[21\],17.7µm
_04011_,17.68µm
_04230_,17.68µm
_05015_,17.68µm
_05236_,17.68µm
data_array.data0\[13\]\[40\],17.68µm
data_array.data0\[8\]\[46\],17.68µm
data_array.data0\[8\]\[51\],17.66µm
_03173_,17.64µm
_04733_,17.62µm
data_array.data0\[1\]\[23\],17.62µm
data_array.data1\[15\]\[47\],17.62µm
data_array.data1\[1\]\[23\],17.62µm
tag_array.tag0\[13\]\[0\],17.62µm
tag_array.tag0\[14\]\[15\],17.62µm
clknet_leaf_150_clk,17.62µm
_03588_,17.6µm
_03626_,17.6µm
_04085_,17.6µm
_04912_,17.6µm
data_array.data0\[13\]\[57\],17.6µm
_03340_,17.58µm
_03803_,17.58µm
_04791_,17.58µm
data_array.data0\[2\]\[36\],17.58µm
_04471_,17.56µm
_04954_,17.56µm
_05262_,17.56µm
tag_array.tag1\[9\]\[20\],17.56µm
_04753_,17.54µm
_05219_,17.54µm
data_array.data0\[10\]\[42\],17.54µm
tag_array.tag0\[0\]\[0\],17.54µm
data_array.data0\[7\]\[27\],17.535µm
_04296_,17.52µm
tag_array.tag0\[13\]\[14\],17.52µm
_04647_,17.5µm
data_array.data0\[15\]\[11\],17.5µm
_00092_,17.495µm
data_array.data0\[3\]\[7\],17.495µm
_03600_,17.48µm
_04195_,17.48µm
_03745_,17.46µm
_03894_,17.46µm
_04499_,17.46µm
_04980_,17.46µm
data_array.data0\[0\]\[54\],17.46µm
_04953_,17.44µm
_04982_,17.44µm
data_array.data0\[14\]\[20\],17.44µm
net105,17.44µm
data_array.data0\[9\]\[54\],17.42µm
data_array.data1\[11\]\[23\],17.42µm
_00087_,17.405µm
_00102_,17.405µm
data_array.data0\[2\]\[3\],17.4µm
tag_array.tag1\[14\]\[15\],17.4µm
_03842_,17.38µm
data_array.data1\[8\]\[16\],17.38µm
data_array.data1\[7\]\[11\],17.365µm
data_array.data1\[10\]\[33\],17.36µm
data_array.data1\[2\]\[35\],17.36µm
_03647_,17.34µm
data_array.data1\[10\]\[37\],17.34µm
_05328_,17.32µm
data_array.data0\[1\]\[42\],17.32µm
data_array.data1\[10\]\[32\],17.32µm
data_array.data1\[10\]\[4\],17.32µm
data_array.data1\[14\]\[23\],17.32µm
tag_array.tag0\[4\]\[11\],17.32µm
data_array.data0\[14\]\[13\],17.28µm
data_array.data1\[10\]\[26\],17.28µm
data_array.data1\[10\]\[54\],17.28µm
data_array.data1\[2\]\[0\],17.28µm
tag_array.tag0\[10\]\[11\],17.28µm
tag_array.tag1\[0\]\[8\],17.28µm
tag_array.tag1\[4\]\[14\],17.28µm
_05010_,17.26µm
_05046_,17.26µm
data_array.data0\[9\]\[63\],17.26µm
_03558_,17.24µm
_04111_,17.24µm
_04365_,17.24µm
_04540_,17.24µm
_04813_,17.24µm
data_array.data0\[14\]\[26\],17.24µm
data_array.data1\[11\]\[2\],17.24µm
tag_array.tag1\[5\]\[6\],17.24µm
_03339_,17.22µm
_03544_,17.22µm
_03561_,17.22µm
data_array.data0\[8\]\[13\],17.22µm
data_array.data1\[4\]\[16\],17.22µm
data_array.data1\[1\]\[37\],17.2µm
tag_array.tag0\[13\]\[23\],17.2µm
tag_array.tag1\[13\]\[0\],17.2µm
tag_array.tag1\[8\]\[6\],17.2µm
_04817_,17.18µm
data_array.data1\[11\]\[14\],17.175µm
data_array.data0\[10\]\[63\],17.16µm
tag_array.tag1\[3\]\[23\],17.16µm
data_array.data0\[13\]\[15\],17.14µm
net4610,17.14µm
data_array.data1\[11\]\[63\],17.125µm
_05009_,17.12µm
data_array.data0\[11\]\[27\],17.12µm
tag_array.tag0\[3\]\[18\],17.12µm
tag_array.tag1\[10\]\[13\],17.12µm
data_array.data0\[3\]\[12\],17.115µm
_03717_,17.1µm
_04186_,17.1µm
_04843_,17.1µm
cpu_rdata[44],17.1µm
data_array.data0\[8\]\[4\],17.1µm
tag_array.tag0\[9\]\[17\],17.1µm
tag_array.tag1\[9\]\[22\],17.1µm
_03802_,17.08µm
_04325_,17.08µm
_04576_,17.08µm
_05044_,17.08µm
data_array.data0\[4\]\[62\],17.08µm
data_array.data1\[2\]\[55\],17.08µm
tag_array.tag0\[2\]\[17\],17.08µm
tag_array.tag1\[8\]\[19\],17.075µm
data_array.data0\[13\]\[27\],17.06µm
data_array.data1\[6\]\[43\],17.06µm
tag_array.tag0\[1\]\[16\],17.06µm
tag_array.tag1\[1\]\[10\],17.06µm
_03668_,17.04µm
_03816_,17.04µm
net108,17.04µm
_03201_,17.02µm
_03239_,17.02µm
_04203_,17.02µm
_04737_,17.02µm
_04758_,17.02µm
data_array.data1\[10\]\[16\],17.02µm
_04975_,17µm
data_array.data1\[6\]\[18\],17µm
net115,17µm
tag_array.tag0\[11\]\[10\],16.995µm
data_array.data0\[8\]\[20\],16.98µm
data_array.data1\[10\]\[7\],16.98µm
data_array.data1\[14\]\[27\],16.98µm
data_array.data1\[2\]\[23\],16.98µm
data_array.data1\[6\]\[14\],16.98µm
tag_array.tag0\[8\]\[5\],16.98µm
_04432_,16.96µm
data_array.rdata0\[23\],16.96µm
_00724_,16.945µm
tag_array.tag0\[11\]\[6\],16.945µm
_04863_,16.94µm
tag_array.tag0\[0\]\[23\],16.94µm
net111,16.94µm
data_array.data1\[0\]\[23\],16.92µm
tag_array.tag1\[13\]\[7\],16.91µm
data_array.data1\[3\]\[29\],16.905µm
_04247_,16.9µm
_04991_,16.9µm
data_array.data1\[14\]\[31\],16.9µm
tag_array.tag1\[14\]\[22\],16.9µm
_03777_,16.88µm
data_array.data1\[4\]\[60\],16.88µm
data_array.data0\[0\]\[10\],16.86µm
data_array.data0\[1\]\[9\],16.86µm
data_array.data1\[12\]\[57\],16.86µm
data_array.data1\[14\]\[19\],16.86µm
data_array.data1\[5\]\[19\],16.86µm
tag_array.tag0\[2\]\[19\],16.86µm
tag_array.tag0\[5\]\[11\],16.86µm
tag_array.tag1\[3\]\[2\],16.86µm
data_array.data1\[11\]\[16\],16.84µm
data_array.data0\[11\]\[34\],16.835µm
data_array.data0\[14\]\[22\],16.82µm
data_array.data1\[1\]\[29\],16.82µm
tag_array.tag1\[6\]\[24\],16.82µm
fsm.tag_out1\[8\],16.81µm
_04320_,16.8µm
_03831_,16.78µm
_03834_,16.78µm
_04045_,16.78µm
_04780_,16.78µm
data_array.data0\[11\]\[55\],16.78µm
data_array.data0\[1\]\[45\],16.78µm
data_array.data0\[9\]\[9\],16.78µm
data_array.rdata1\[14\],16.78µm
tag_array.tag0\[2\]\[15\],16.78µm
tag_array.tag0\[15\]\[0\],16.775µm
_03940_,16.76µm
_04893_,16.76µm
tag_array.tag0\[1\]\[12\],16.76µm
_04112_,16.74µm
data_array.data1\[7\]\[20\],16.735µm
_00376_,16.725µm
data_array.data1\[11\]\[59\],16.725µm
_05058_,16.72µm
data_array.rdata1\[55\],16.72µm
_04078_,16.7µm
_04138_,16.7µm
_05042_,16.7µm
_05218_,16.7µm
tag_array.tag1\[6\]\[21\],16.7µm
net266,16.7µm
_03942_,16.68µm
_04846_,16.68µm
_04923_,16.68µm
_05083_,16.68µm
data_array.data0\[0\]\[45\],16.68µm
data_array.data1\[8\]\[17\],16.68µm
data_array.data1\[4\]\[63\],16.66µm
data_array.data1\[2\]\[56\],16.64µm
tag_array.tag0\[8\]\[24\],16.64µm
_04134_,16.62µm
data_array.data1\[2\]\[53\],16.62µm
tag_array.tag0\[7\]\[11\],16.62µm
tag_array.tag1\[7\]\[20\],16.605µm
_04248_,16.6µm
_04550_,16.6µm
data_array.data1\[14\]\[51\],16.6µm
data_array.data1\[14\]\[52\],16.6µm
tag_array.tag0\[12\]\[21\],16.6µm
data_array.data0\[3\]\[36\],16.585µm
data_array.data1\[10\]\[23\],16.58µm
data_array.data1\[11\]\[27\],16.565µm
tag_array.tag0\[12\]\[18\],16.56µm
net4625,16.56µm
tag_array.dirty1\[7\],16.54µm
data_array.data1\[9\]\[1\],16.53µm
data_array.data1\[3\]\[35\],16.525µm
_03379_,16.52µm
_03931_,16.52µm
_04029_,16.52µm
_04383_,16.52µm
data_array.data1\[10\]\[62\],16.52µm
tag_array.dirty1\[6\],16.52µm
tag_array.tag0\[9\]\[12\],16.52µm
net149,16.52µm
data_array.data0\[7\]\[1\],16.5µm
data_array.data1\[6\]\[0\],16.5µm
data_array.data1\[3\]\[45\],16.485µm
_04882_,16.48µm
tag_array.tag0\[12\]\[20\],16.48µm
tag_array.tag0\[6\]\[4\],16.48µm
tag_array.valid1\[8\],16.48µm
_04017_,16.46µm
data_array.data0\[7\]\[63\],16.46µm
tag_array.tag1\[11\]\[1\],16.445µm
data_array.data0\[0\]\[20\],16.44µm
data_array.data1\[10\]\[41\],16.44µm
data_array.data1\[1\]\[1\],16.44µm
data_array.data1\[2\]\[6\],16.44µm
data_array.data1\[8\]\[52\],16.44µm
tag_array.tag1\[8\]\[5\],16.44µm
_04707_,16.42µm
data_array.rdata1\[8\],16.42µm
net4554,16.42µm
data_array.data0\[7\]\[35\],16.405µm
tag_array.tag1\[7\]\[8\],16.405µm
_03306_,16.4µm
data_array.data0\[13\]\[9\],16.4µm
data_array.data1\[1\]\[55\],16.4µm
tag_array.tag0\[10\]\[3\],16.4µm
_04286_,16.38µm
_04687_,16.38µm
tag_array.tag1\[7\]\[13\],16.365µm
data_array.data0\[13\]\[38\],16.36µm
_03167_,16.34µm
data_array.data0\[2\]\[41\],16.34µm
tag_array.tag0\[5\]\[8\],16.34µm
net216,16.34µm
data_array.data0\[5\]\[63\],16.32µm
data_array.rdata0\[42\],16.32µm
tag_array.tag0\[1\]\[21\],16.32µm
_03547_,16.3µm
_04787_,16.3µm
_05158_,16.3µm
_05587_,16.3µm
data_array.data1\[6\]\[4\],16.3µm
tag_array.tag0\[15\]\[16\],16.285µm
_05103_,16.28µm
data_array.data0\[4\]\[4\],16.28µm
data_array.data0\[4\]\[54\],16.28µm
data_array.data0\[7\]\[6\],16.28µm
data_array.data1\[2\]\[24\],16.28µm
data_array.data1\[4\]\[49\],16.28µm
data_array.data1\[5\]\[62\],16.28µm
tag_array.tag0\[12\]\[23\],16.28µm
_03685_,16.26µm
_04458_,16.26µm
_05072_,16.26µm
_05208_,16.24µm
data_array.data0\[9\]\[56\],16.24µm
tag_array.tag1\[15\]\[9\],16.24µm
tag_array.tag1\[1\]\[2\],16.24µm
_04503_,16.22µm
_04538_,16.22µm
_04662_,16.22µm
data_array.data1\[13\]\[6\],16.22µm
tag_array.tag1\[13\]\[6\],16.22µm
data_array.data0\[11\]\[22\],16.205µm
_03255_,16.2µm
data_array.data0\[14\]\[50\],16.2µm
_03924_,16.18µm
_05232_,16.18µm
_05432_,16.18µm
data_array.data0\[10\]\[32\],16.18µm
data_array.data0\[12\]\[54\],16.18µm
data_array.data0\[1\]\[7\],16.18µm
data_array.data0\[8\]\[32\],16.18µm
data_array.data1\[12\]\[18\],16.18µm
data_array.data1\[8\]\[25\],16.18µm
tag_array.tag1\[13\]\[15\],16.18µm
_03783_,16.16µm
data_array.data0\[15\]\[55\],16.16µm
tag_array.tag0\[15\]\[15\],16.16µm
data_array.data1\[10\]\[29\],16.14µm
tag_array.tag1\[10\]\[9\],16.14µm
data_array.data0\[13\]\[59\],16.12µm
data_array.data1\[12\]\[12\],16.12µm
data_array.data0\[3\]\[54\],16.115µm
data_array.data0\[11\]\[50\],16.105µm
_04822_,16.1µm
_05228_,16.1µm
_05450_,16.1µm
data_array.data0\[9\]\[3\],16.1µm
data_array.data1\[12\]\[26\],16.1µm
tag_array.tag0\[2\]\[10\],16.1µm
data_array.data1\[7\]\[48\],16.085µm
_04947_,16.08µm
data_array.data0\[15\]\[21\],16.08µm
data_array.data0\[13\]\[26\],16.06µm
data_array.data0\[1\]\[26\],16.06µm
data_array.data1\[10\]\[3\],16.06µm
tag_array.tag1\[6\]\[13\],16.06µm
net178,16.06µm
tag_array.tag1\[6\]\[20\],16.04µm
data_array.data0\[14\]\[6\],16.02µm
data_array.data1\[12\]\[43\],16.02µm
data_array.rdata1\[46\],16.02µm
mem_addr[27],16.01µm
_03233_,15.98µm
data_array.data0\[10\]\[0\],15.98µm
data_array.data0\[6\]\[37\],15.98µm
data_array.data1\[0\]\[36\],15.98µm
data_array.data1\[1\]\[39\],15.98µm
data_array.data1\[6\]\[21\],15.98µm
data_array.data1\[8\]\[13\],15.98µm
tag_array.tag0\[10\]\[23\],15.98µm
tag_array.tag0\[12\]\[2\],15.98µm
tag_array.tag1\[13\]\[17\],15.96µm
tag_array.tag0\[11\]\[8\],15.945µm
tag_array.tag0\[7\]\[24\],15.945µm
tag_array.tag0\[7\]\[5\],15.945µm
_03892_,15.94µm
_04212_,15.94µm
data_array.data0\[5\]\[60\],15.94µm
data_array.data1\[10\]\[11\],15.94µm
data_array.data1\[6\]\[23\],15.94µm
data_array.data1\[9\]\[44\],15.94µm
tag_array.dirty0\[2\],15.94µm
tag_array.tag0\[12\]\[11\],15.94µm
tag_array.tag0\[14\]\[8\],15.94µm
_03232_,15.92µm
_04327_,15.92µm
_05603_,15.92µm
data_array.data0\[15\]\[51\],15.91µm
_03315_,15.9µm
data_array.data0\[2\]\[27\],15.9µm
tag_array.valid1\[1\],15.9µm
data_array.data1\[11\]\[56\],15.885µm
_04891_,15.88µm
tag_array.tag0\[6\]\[14\],15.88µm
data_array.data0\[3\]\[3\],15.865µm
data_array.data1\[11\]\[42\],15.865µm
_03966_,15.86µm
_04963_,15.86µm
data_array.data0\[3\]\[31\],15.86µm
data_array.data1\[3\]\[16\],15.86µm
_01417_,15.845µm
_03968_,15.84µm
_04578_,15.84µm
_04732_,15.84µm
data_array.data0\[8\]\[3\],15.84µm
net222,15.84µm
_04607_,15.82µm
_04952_,15.82µm
data_array.data1\[12\]\[32\],15.82µm
tag_array.dirty1\[15\],15.82µm
tag_array.tag0\[8\]\[7\],15.82µm
_03886_,15.8µm
_04586_,15.8µm
_04645_,15.8µm
_05266_,15.8µm
data_array.data0\[13\]\[46\],15.8µm
data_array.data0\[14\]\[43\],15.8µm
tag_array.tag0\[4\]\[4\],15.8µm
tag_array.tag0\[8\]\[9\],15.8µm
data_array.data0\[7\]\[50\],15.78µm
data_array.data1\[13\]\[18\],15.78µm
tag_array.tag0\[7\]\[12\],15.78µm
_03257_,15.76µm
_03438_,15.76µm
_03669_,15.76µm
_03693_,15.76µm
data_array.data0\[0\]\[50\],15.76µm
data_array.data0\[8\]\[61\],15.76µm
data_array.data1\[5\]\[30\],15.76µm
_03177_,15.75µm
data_array.data0\[1\]\[1\],15.74µm
data_array.data1\[3\]\[49\],15.74µm
mem_wdata[0],15.73µm
data_array.data1\[11\]\[17\],15.725µm
_03618_,15.72µm
_03848_,15.72µm
_05212_,15.72µm
data_array.data0\[13\]\[17\],15.72µm
data_array.data0\[5\]\[5\],15.72µm
tag_array.tag0\[4\]\[10\],15.72µm
tag_array.tag1\[9\]\[14\],15.72µm
net83,15.72µm
net150,15.72µm
net3001,15.72µm
_05547_,15.7µm
data_array.data0\[3\]\[10\],15.7µm
data_array.data1\[3\]\[6\],15.7µm
data_array.data1\[3\]\[33\],15.685µm
_04292_,15.68µm
_04372_,15.68µm
_04518_,15.68µm
_04820_,15.68µm
_04978_,15.68µm
data_array.data0\[14\]\[55\],15.68µm
data_array.data1\[0\]\[51\],15.68µm
data_array.data1\[5\]\[27\],15.68µm
tag_array.tag1\[5\]\[5\],15.68µm
_04554_,15.66µm
_00943_,15.645µm
tag_array.tag0\[7\]\[4\],15.645µm
_03212_,15.64µm
_04123_,15.64µm
_04850_,15.64µm
data_array.data0\[10\]\[59\],15.64µm
data_array.data1\[13\]\[62\],15.64µm
tag_array.tag1\[6\]\[5\],15.64µm
data_array.data1\[13\]\[40\],15.62µm
net296,15.62µm
data_array.data0\[3\]\[60\],15.615µm
data_array.data1\[15\]\[26\],15.605µm
tag_array.tag1\[7\]\[9\],15.605µm
_04939_,15.6µm
data_array.data0\[2\]\[56\],15.6µm
data_array.data0\[2\]\[5\],15.6µm
data_array.data0\[9\]\[19\],15.6µm
data_array.data0\[9\]\[21\],15.6µm
data_array.data1\[6\]\[28\],15.6µm
tag_array.tag0\[0\]\[5\],15.6µm
data_array.data1\[15\]\[1\],15.585µm
_04100_,15.58µm
_03151_,15.56µm
data_array.data0\[13\]\[6\],15.56µm
data_array.data0\[6\]\[51\],15.56µm
data_array.data1\[14\]\[1\],15.56µm
mem_rdata[38],15.56µm
tag_array.tag1\[9\]\[11\],15.56µm
data_array.rdata1\[56\],15.54µm
data_array.data0\[3\]\[6\],15.525µm
_03572_,15.52µm
_04592_,15.52µm
data_array.data0\[10\]\[27\],15.52µm
data_array.data0\[13\]\[47\],15.52µm
data_array.data0\[4\]\[33\],15.52µm
data_array.data0\[4\]\[50\],15.52µm
data_array.data0\[5\]\[1\],15.52µm
data_array.data1\[10\]\[40\],15.52µm
data_array.data1\[2\]\[30\],15.52µm
data_array.data1\[8\]\[6\],15.52µm
tag_array.valid0\[12\],15.52µm
data_array.data0\[3\]\[56\],15.515µm
data_array.data1\[8\]\[20\],15.51µm
mem_addr[0],15.51µm
_04654_,15.5µm
data_array.data0\[9\]\[2\],15.5µm
data_array.data0\[15\]\[8\],15.495µm
data_array.data0\[15\]\[3\],15.485µm
_04948_,15.48µm
_05252_,15.48µm
data_array.data0\[0\]\[51\],15.48µm
data_array.data0\[12\]\[46\],15.48µm
data_array.data0\[1\]\[24\],15.48µm
data_array.rdata0\[2\],15.48µm
tag_array.tag0\[0\]\[14\],15.48µm
tag_array.tag1\[4\]\[13\],15.48µm
_04010_,15.46µm
data_array.data0\[9\]\[39\],15.46µm
data_array.data1\[11\]\[44\],15.46µm
tag_array.tag1\[2\]\[19\],15.46µm
data_array.data1\[2\]\[9\],15.44µm
data_array.data1\[5\]\[26\],15.44µm
