net,length_um
net344,355.9µm
net640,355.86µm
net1193,355.07µm
net341,354.96µm
net549,354.73µm
net554,354.61µm
net359,354.5µm
net1170,353.53µm
net670,353.44µm
net849,353.29µm
net581,353.06µm
net642,352.91µm
net415,351.8µm
net364,351.32µm
net610,350.82µm
net396,350.69µm
_03515_,350.34µm
net846,349.78µm
net850,348.62µm
net413,348.54µm
net599,347.805µm
net1210,347.78µm
net1172,347.18µm
net797,347.09µm
net1147,346.94µm
net375,346.86µm
net414,346.65µm
net468,346.26µm
net687,346.23µm
net332,345.74µm
net693,345.26µm
net595,344.86µm
net1139,344.25µm
net1221,344.04µm
net1633,341.8µm
_05557_,341.67µm
net1636,341.6µm
net429,341.16µm
net444,341.12µm
net602,340.97µm
net648,340.76µm
net391,339.18µm
net618,338.975µm
net1218,338.17µm
net370,337.74µm
net334,337.58µm
_05551_,337.48µm
net545,337.26µm
net1364,336.665µm
net636,336.05µm
net540,335.8µm
net1171,335.69µm
net457,335.59µm
net486,335.36µm
net574,335.36µm
net1190,335.36µm
net804,335.22µm
net676,335.13µm
net1224,334.57µm
net346,334.24µm
net591,334.05µm
net671,332.85µm
net424,332.54µm
net374,331.96µm
net481,331.88µm
net615,331.12µm
net432,330.39µm
net690,329.6µm
net357,329.32µm
net1613,328.82µm
net438,328.39µm
net614,327.91µm
net831,327.16µm
net461,326.53µm
net578,326.49µm
net1231,326.18µm
net596,324.64µm
net603,323.94µm
net570,323.57µm
net365,323.45µm
net1616,322.01µm
net1630,321.72µm
net1202,321.42µm
net541,321.36µm
net673,321.01µm
net459,320.56µm
net450,320.06µm
net633,319.86µm
net1628,319.7µm
net564,319.68µm
net1648,319.66µm
net622,318.695µm
net373,318.31µm
net1517,318.21µm
net1635,317.93µm
net1178,317.67µm
net558,317.11µm
net594,317.01µm
net1173,316.11µm
net1118,316.01µm
net1270,315.79µm
net1153,314.81µm
net621,314.275µm
_05567_,314.23µm
net522,314.1µm
_05606_,313.39µm
net1183,312.6µm
net1125,312.24µm
net624,310.78µm
net1204,309.84µm
net632,309.66µm
net1188,309.1µm
net647,308.225µm
net1145,308.015µm
net1215,308µm
net651,307.81µm
net407,307.745µm
net510,307.6µm
net1458,305.94µm
net553,304.96µm
_05604_,304.34µm
net1229,303.81µm
net28,303.535µm
net422,303.46µm
net500,302.73µm
net547,302.52µm
net1184,302.1µm
net1194,302.1µm
net1470,302.05µm
net1516,301.34µm
net689,301.22µm
net453,300.76µm
net447,300.29µm
net451,300.015µm
net338,299.96µm
net29,299.885µm
net1209,299.66µm
net534,298.34µm
net1620,298.03µm
net1186,297.84µm
net430,297.82µm
net445,297.76µm
net411,297.44µm
net1226,297.27µm
net560,295.45µm
net634,295µm
net372,294.745µm
net555,292.92µm
net1195,292.54µm
net1181,292.28µm
net367,292.19µm
net649,291.35µm
net646,290.83µm
net330,290.72µm
net377,289.64µm
net592,288.6µm
net1612,287.17µm
net427,287.12µm
net631,286.5µm
_05571_,286.45µm
net1167,286.42µm
net339,284.97µm
net477,284.91µm
net674,284.5µm
net1232,284.48µm
net435,284.36µm
net625,284.22µm
net419,283.68µm
net1199,280.96µm
net688,280.07µm
net1480,279.84µm
net399,278.98µm
net579,278.12µm
clknet_5_16__leaf_clk,277.24µm
net1566,276.6µm
net383,274.74µm
net1413,274.18µm
net572,273.45µm
net616,272.435µm
clknet_5_13__leaf_clk,271.68µm
clknet_5_26__leaf_clk,271.56µm
net1625,271.49µm
_05365_,270.68µm
clknet_5_5__leaf_clk,267.04µm
net1294,266.46µm
net1378,265.165µm
_05369_,264.66µm
net1403,263.445µm
net567,263.42µm
net628,263.38µm
net1594,263.34µm
clknet_5_1__leaf_clk,262.75µm
clknet_5_7__leaf_clk,261.57µm
clknet_5_2__leaf_clk,261.32µm
clknet_5_15__leaf_clk,260.57µm
net539,260µm
net331,259.84µm
net1554,259.06µm
net1582,259.02µm
net1198,258.25µm
net1486,256.34µm
net1284,256.06µm
clknet_5_18__leaf_clk,255.7µm
clknet_5_29__leaf_clk,254.68µm
net645,254.1µm
dirty_way1,251.58µm
clknet_5_3__leaf_clk,250.24µm
net1388,249.405µm
_05599_,248.84µm
net598,248.74µm
fsm.state\[2\],248.33µm
net512,248.16µm
net1305,247.66µm
net1536,247.53µm
net1626,247.34µm
clknet_5_23__leaf_clk,247.21µm
net1513,247.03µm
_05591_,246.94µm
net1488,246.78µm
net557,246.48µm
_05387_,245.94µm
clknet_5_6__leaf_clk,243.96µm
clknet_5_4__leaf_clk,242.72µm
net627,241.67µm
net1309,241.39µm
clknet_5_30__leaf_clk,241.16µm
clknet_5_11__leaf_clk,241.12µm
net1319,240.4µm
_05598_,240.2µm
net1576,239.78µm
net1584,239.61µm
net1440,239.12µm
net1455,238.6µm
net538,238.57µm
clknet_5_0__leaf_clk,237.7µm
clknet_5_31__leaf_clk,236.9µm
clknet_5_21__leaf_clk,236.58µm
clknet_5_27__leaf_clk,236.04µm
clknet_5_14__leaf_clk,235.62µm
net1564,235.19µm
_05594_,234.92µm
net1293,234.2µm
net1526,233.34µm
net1430,233.08µm
net1251,232.2µm
net1407,232.15µm
net608,231.79µm
net1300,230.33µm
net1609,230.1µm
_05405_,229.93µm
net1133,229.88µm
_05548_,229.77µm
net593,229.165µm
net1624,228.72µm
net1360,228.24µm
_05601_,227.74µm
_05549_,227.48µm
net1574,227.16µm
clknet_5_24__leaf_clk,227.16µm
net1191,227.04µm
net1478,226.9µm
net1406,226.725µm
net1498,226.66µm
clknet_5_9__leaf_clk,226.52µm
_00158_,226.345µm
clknet_5_17__leaf_clk,225.74µm
net1394,225.69µm
net1617,225.26µm
net1387,225.16µm
net1220,225.08µm
net1449,224.47µm
net1345,223.8µm
_05395_,223.34µm
net1607,223.28µm
net1577,222.95µm
net1327,222.41µm
net1313,222.22µm
net848,221.65µm
clknet_5_10__leaf_clk,221.34µm
net542,221.1µm
net1266,220.5µm
net1545,220.08µm
net1255,219.73µm
net641,218.32µm
net1524,217.7µm
_00156_,217.68µm
net1312,217.08µm
net1242,217.07µm
_05377_,215.87µm
net830,215.29µm
_05379_,215.25µm
net1551,215.2µm
net1336,215.005µm
net1291,214.67µm
net1438,214.64µm
net1534,214.62µm
_00173_,214.5µm
net1596,214.32µm
net1332,213.925µm
net1640,213.74µm
net347,213.41µm
net1421,213.24µm
net803,213.1µm
net1399,212.78µm
_00168_,212.76µm
net1527,212.25µm
net1454,211.78µm
net1481,211µm
net1501,210.99µm
net456,210.74µm
net1603,210.08µm
clknet_5_8__leaf_clk,209.475µm
net1507,209.36µm
net1510,209.36µm
net1533,208.77µm
net630,208.76µm
net1602,208.555µm
net1114,208.38µm
net1431,208.38µm
net1442,208.32µm
net1573,208.1µm
net1560,207.435µm
net1606,207.3µm
net1276,207.06µm
_05466_,207.01µm
net462,206.91µm
_05565_,206.68µm
clknet_5_25__leaf_clk,206.03µm
net1538,206.02µm
net2,205.98µm
net839,205.825µm
net1258,205.1µm
net1352,205.04µm
net1575,204.67µm
_05446_,204.66µm
net550,204.47µm
net1265,203.53µm
net1136,203.41µm
net1511,203.36µm
net1428,203.12µm
_00084_,202.31µm
net485,202.12µm
net1333,202.07µm
net1464,202.02µm
_05399_,200.48µm
clknet_5_12__leaf_clk,199.84µm
net1401,199.795µm
net1201,199.44µm
net1437,199.33µm
net1359,199.145µm
net1379,199.03µm
net569,198.8µm
net1493,198.6µm
net1285,197.54µm
net1479,197.48µm
net1535,197.46µm
net1474,197.38µm
net1597,197.29µm
net1304,197.26µm
net1506,197.205µm
net1500,197.12µm
net662,196.9µm
net1117,196.3µm
