Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_184_169,VGND,li1,85.1000,511.3600,0.000009
FILLER_184_165,VGND,li1,82.1100,511.3600,0.000009
FILLER_184_153,VGND,li1,78.6600,511.3600,0.000008
FILLER_184_141,VGND,li1,73.1400,511.3600,0.000008
FILLER_184_137,VGND,li1,69.2300,511.3600,0.000007
FILLER_184_125,VGND,li1,65.7800,511.3600,0.000007
FILLER_184_113,VGND,li1,60.2600,511.3600,0.000006
FILLER_184_109,VGND,li1,56.3500,511.3600,0.000005
FILLER_184_97,VGND,li1,52.9000,511.3600,0.000005
FILLER_184_85,VGND,li1,47.3800,511.3600,0.000004
FILLER_184_81,VGND,li1,43.4700,511.3600,0.000004
FILLER_184_69,VGND,li1,40.0200,511.3600,0.000003
FILLER_184_57,VGND,li1,34.5000,511.3600,0.000003
FILLER_184_53,VGND,li1,30.5900,511.3600,0.000002
FILLER_184_41,VGND,li1,27.1400,511.3600,0.000002
FILLER_184_29,VGND,li1,21.6200,511.3600,0.000001
FILLER_184_27,VGND,li1,18.1700,511.3600,0.000001
FILLER_184_15,VGND,li1,15.1800,511.3600,0.000001
FILLER_184_3,VGND,li1,9.6600,511.3600,0.000001
FILLER_183_1089,VGND,li1,507.1500,511.3600,0.000000
FILLER_183_1077,VGND,li1,503.7000,511.3600,0.000000
FILLER_183_1065,VGND,li1,498.1800,511.3600,0.000000
FILLER_183_1063,VGND,li1,494.7300,511.3600,0.000000
FILLER_183_1057,VGND,li1,493.1200,511.3600,0.000000
FILLER_183_1045,VGND,li1,488.9800,511.3600,0.000000
FILLER_183_1033,VGND,li1,483.4600,511.3600,0.000001
FILLER_183_1021,VGND,li1,477.9400,511.3600,0.000001
FILLER_183_1009,VGND,li1,472.4200,511.3600,0.000001
FILLER_183_1007,VGND,li1,468.9700,511.3600,0.000001
FILLER_183_1001,VGND,li1,467.3600,511.3600,0.000001
FILLER_183_989,VGND,li1,463.2200,511.3600,0.000001
FILLER_183_977,VGND,li1,457.7000,511.3600,0.000002
FILLER_183_965,VGND,li1,452.1800,511.3600,0.000002
FILLER_183_953,VGND,li1,446.6600,511.3600,0.000002
FILLER_183_951,VGND,li1,443.2100,511.3600,0.000002
FILLER_183_945,VGND,li1,441.6000,511.3600,0.000002
FILLER_183_933,VGND,li1,437.4600,511.3600,0.000003
FILLER_183_921,VGND,li1,431.9400,511.3600,0.000003
FILLER_183_909,VGND,li1,426.4200,511.3600,0.000003
FILLER_183_897,VGND,li1,420.9000,511.3600,0.000003
FILLER_183_895,VGND,li1,417.4500,511.3600,0.000003
FILLER_183_889,VGND,li1,415.8400,511.3600,0.000003
FILLER_183_877,VGND,li1,411.7000,511.3600,0.000004
FILLER_183_865,VGND,li1,406.1800,511.3600,0.000004
FILLER_183_853,VGND,li1,400.6600,511.3600,0.000004
FILLER_183_841,VGND,li1,395.1400,511.3600,0.000004
FILLER_183_839,VGND,li1,391.6900,511.3600,0.000005
FILLER_183_835,VGND,li1,390.5400,511.3600,0.000005
FILLER_183_823,VGND,li1,386.8600,511.3600,0.000005
FILLER_183_789,VGND,li1,368.6900,511.3600,0.000006
FILLER_183_785,VGND,li1,367.5400,511.3600,0.000006
FILLER_183_780,VGND,li1,365.2400,511.3600,0.000006
FILLER_183_766,VGND,li1,358.1100,511.3600,0.000005
FILLER_183_753,VGND,li1,352.8200,511.3600,0.000005
FILLER_183_741,VGND,li1,349.1400,511.3600,0.000005
FILLER_183_729,VGND,li1,343.6200,511.3600,0.000004
FILLER_183_716,VGND,li1,337.6400,511.3600,0.000004
FILLER_183_704,VGND,li1,332.1200,511.3600,0.000003
FILLER_183_692,VGND,li1,326.6000,511.3600,0.000004
FILLER_183_686,VGND,li1,321.7700,511.3600,0.000006
FILLER_183_670,VGND,li1,314.1800,511.3600,0.000008
FILLER_183_646,VGND,li1,303.1400,511.3600,0.000010
FILLER_183_638,VGND,li1,300.8400,511.3600,0.000011
FILLER_183_625,VGND,li1,293.2500,511.3600,0.000012
FILLER_183_617,VGND,li1,291.1800,511.3600,0.000012
FILLER_183_610,VGND,li1,287.5000,511.3600,0.000013
FILLER_183_598,VGND,li1,283.3600,511.3600,0.000013
FILLER_183_585,VGND,li1,274.8500,511.3600,0.000014
FILLER_183_579,VGND,li1,273.2400,511.3600,0.000014
FILLER_183_567,VGND,li1,269.1000,511.3600,0.000014
FILLER_183_545,VGND,li1,256.9100,511.3600,0.000015
FILLER_183_528,VGND,li1,249.3200,511.3600,0.000015
FILLER_183_516,VGND,li1,245.6400,511.3600,0.000015
FILLER_183_508,VGND,li1,239.6600,511.3600,0.000014
FILLER_183_449,VGND,li1,212.9800,511.3600,0.000012
FILLER_183_430,VGND,li1,206.0800,511.3600,0.000011
FILLER_183_384,VGND,li1,182.3900,511.3600,0.000006
FILLER_183_380,VGND,li1,181.2400,511.3600,0.000005
FILLER_183_368,VGND,li1,177.5600,511.3600,0.000005
FILLER_183_355,VGND,li1,169.0500,511.3600,0.000006
FILLER_183_349,VGND,li1,167.4400,511.3600,0.000007
FILLER_183_337,VGND,li1,163.3000,511.3600,0.000008
FILLER_183_335,VGND,li1,159.8500,511.3600,0.000008
FILLER_183_327,VGND,li1,157.7800,511.3600,0.000008
FILLER_183_319,VGND,li1,152.4900,511.3600,0.000009
FILLER_183_307,VGND,li1,147.4300,511.3600,0.000010
FILLER_183_295,VGND,li1,143.9800,511.3600,0.000010
FILLER_183_281,VGND,li1,135.0100,511.3600,0.000010
FILLER_183_268,VGND,li1,131.5600,511.3600,0.000011
FILLER_183_256,VGND,li1,126.0400,511.3600,0.000011
FILLER_183_242,VGND,li1,117.0700,511.3600,0.000011
FILLER_183_225,VGND,li1,110.8600,511.3600,0.000011
FILLER_183_223,VGND,li1,108.3300,511.3600,0.000011
FILLER_183_211,VGND,li1,105.3400,511.3600,0.000010
FILLER_183_199,VGND,li1,99.8200,511.3600,0.000010
FILLER_183_169,VGND,li1,85.1000,511.3600,0.000009
FILLER_183_167,VGND,li1,82.5700,511.3600,0.000009
FILLER_183_161,VGND,li1,80.9600,511.3600,0.000009
FILLER_183_149,VGND,li1,76.8200,511.3600,0.000008
FILLER_183_137,VGND,li1,71.3000,511.3600,0.000007
FILLER_183_125,VGND,li1,65.7800,511.3600,0.000007
FILLER_183_113,VGND,li1,60.2600,511.3600,0.000006
FILLER_183_111,VGND,li1,56.8100,511.3600,0.000005
FILLER_183_105,VGND,li1,55.2000,511.3600,0.000005
FILLER_183_93,VGND,li1,51.0600,511.3600,0.000005
FILLER_183_81,VGND,li1,45.5400,511.3600,0.000004
FILLER_183_69,VGND,li1,40.0200,511.3600,0.000003
FILLER_183_57,VGND,li1,34.5000,511.3600,0.000003
FILLER_183_55,VGND,li1,31.0500,511.3600,0.000002
FILLER_183_51,VGND,li1,29.9000,511.3600,0.000002
FILLER_183_39,VGND,li1,26.2200,511.3600,0.000001
FILLER_183_27,VGND,li1,20.7000,511.3600,0.000001
FILLER_183_15,VGND,li1,15.1800,511.3600,0.000001
FILLER_183_3,VGND,li1,9.6600,511.3600,0.000001
FILLER_182_1091,VGND,li1,507.6100,505.9200,0.000009
FILLER_182_1085,VGND,li1,506.0000,505.9200,0.000009
FILLER_182_1073,VGND,li1,501.8600,505.9200,0.000009
FILLER_182_1061,VGND,li1,496.3400,505.9200,0.000009
FILLER_182_1049,VGND,li1,490.8200,505.9200,0.000009
FILLER_182_1037,VGND,li1,485.3000,505.9200,0.000009
FILLER_182_1035,VGND,li1,481.8500,505.9200,0.000014
FILLER_182_1029,VGND,li1,480.2400,505.9200,0.000014
FILLER_182_1017,VGND,li1,476.1000,505.9200,0.000018
FILLER_182_1005,VGND,li1,470.5800,505.9200,0.000024
FILLER_182_993,VGND,li1,465.0600,505.9200,0.000028
FILLER_182_981,VGND,li1,459.5400,505.9200,0.000033
FILLER_182_979,VGND,li1,456.0900,505.9200,0.000038
FILLER_182_973,VGND,li1,454.4800,505.9200,0.000038
FILLER_182_961,VGND,li1,450.3400,505.9200,0.000042
FILLER_182_949,VGND,li1,444.8200,505.9200,0.000048
FILLER_182_937,VGND,li1,439.3000,505.9200,0.000052
FILLER_182_925,VGND,li1,433.7800,505.9200,0.000057
FILLER_182_923,VGND,li1,430.3300,505.9200,0.000062
FILLER_182_917,VGND,li1,428.7200,505.9200,0.000062
FILLER_182_905,VGND,li1,424.5800,505.9200,0.000065
FILLER_182_893,VGND,li1,419.0600,505.9200,0.000072
FILLER_182_881,VGND,li1,413.5400,505.9200,0.000076
FILLER_182_869,VGND,li1,408.0200,505.9200,0.000081
FILLER_182_867,VGND,li1,404.5700,505.9200,0.000085
FILLER_182_863,VGND,li1,403.4200,505.9200,0.000085
FILLER_182_851,VGND,li1,399.7400,505.9200,0.000088
FILLER_182_839,VGND,li1,394.2200,505.9200,0.000093
FILLER_182_827,VGND,li1,388.7000,505.9200,0.000099
FILLER_182_798,VGND,li1,372.8300,505.9200,0.000107
FILLER_182_761,VGND,li1,355.8100,505.9200,0.000098
FILLER_182_757,VGND,li1,354.6600,505.9200,0.000095
FILLER_182_755,VGND,li1,353.0500,505.9200,0.000095
FILLER_182_749,VGND,li1,351.4400,505.9200,0.000092
FILLER_182_737,VGND,li1,347.3000,505.9200,0.000087
FILLER_182_725,VGND,li1,341.7800,505.9200,0.000079
FILLER_182_713,VGND,li1,336.2600,505.9200,0.000071
FILLER_182_701,VGND,li1,330.7400,505.9200,0.000079
FILLER_182_697,VGND,li1,326.8300,505.9200,0.000094
FILLER_182_638,VGND,li1,300.3800,505.9200,0.000205
FILLER_182_626,VGND,li1,293.7100,505.9200,0.000223
FILLER_182_607,VGND,li1,284.9700,505.9200,0.000246
FILLER_182_603,VGND,li1,283.8200,505.9200,0.000246
FILLER_182_585,VGND,li1,275.3100,505.9200,0.000261
FILLER_182_574,VGND,li1,270.0200,505.9200,0.000266
FILLER_182_556,VGND,li1,262.2000,505.9200,0.000270
FILLER_182_537,VGND,li1,252.7700,505.9200,0.000270
FILLER_182_533,VGND,li1,251.6200,505.9200,0.000269
FILLER_182_519,VGND,li1,245.1800,505.9200,0.000265
FILLER_182_504,VGND,li1,237.8200,505.9200,0.000257
FILLER_182_477,VGND,li1,225.1700,505.9200,0.000240
FILLER_182_462,VGND,li1,218.5000,505.9200,0.000229
FILLER_182_446,VGND,li1,211.1400,505.9200,0.000210
FILLER_182_436,VGND,li1,206.3100,505.9200,0.000197
FILLER_182_428,VGND,li1,204.2400,505.9200,0.000188
FILLER_182_412,VGND,li1,195.2700,505.9200,0.000153
FILLER_182_408,VGND,li1,194.1200,505.9200,0.000153
FILLER_182_380,VGND,li1,181.0100,505.9200,0.000088
FILLER_182_372,VGND,li1,178.4800,505.9200,0.000079
FILLER_182_361,VGND,li1,172.2700,505.9200,0.000095
FILLER_182_344,VGND,li1,163.9900,505.9200,0.000117
FILLER_182_338,VGND,li1,162.3800,505.9200,0.000117
FILLER_182_307,VGND,li1,146.9700,505.9200,0.000148
FILLER_182_303,VGND,li1,145.8200,505.9200,0.000148
FILLER_182_260,VGND,li1,126.0400,505.9200,0.000168
FILLER_182_228,VGND,li1,112.2400,505.9200,0.000167
FILLER_182_216,VGND,li1,107.6400,505.9200,0.000163
FILLER_182_204,VGND,li1,102.1200,505.9200,0.000159
FILLER_182_192,VGND,li1,94.7600,505.9200,0.000152
FILLER_182_173,VGND,li1,85.7900,505.9200,0.000140
FILLER_182_165,VGND,li1,83.2600,505.9200,0.000135
